<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
22/07/21;000000;295.77;298.17;294.43;297.27;20319290
23/07/21;000000;297.5;298.69;295.04;296.38;14959920
26/07/21;000000;293.99;303.68;291.98;303.34;33887060
27/07/21;000000;302.66;304.59;299.38;299.71;38559430
28/07/21;000000;300.48;302.98;300;302.9;26896580
29/07/21;000000;304.14;305.27;303.03;303.12;27950010
30/07/21;000000;302.42;306.67;301.12;305.59;49522680
02/08/21;000000;306.31;308.63;306.06;306.51;31506510
03/08/21;000000;306.31;309.89;306.25;309.89;33788860
04/08/21;000000;310.26;312;309.25;311.1;30666580
05/08/21;000000;311.02;315.91;310.82;315.82;37290300
06/08/21;000000;316.1;320;315.31;319.15;54096400
09/08/21;000000;318.56;328.3;317.62;326.91;71958140
10/08/21;000000;328.05;331.29;326.97;330.11;41507840
11/08/21;000000;330.7;330.98;326.21;329.9;34418000
12/08/21;000000;330;330.64;327.3;328.57;20985080
13/08/21;000000;328.6;330.27;327.31;328.68;18758270
16/08/21;000000;327.56;330.52;327.13;329.36;23916510
17/08/21;000000;329;335.7;328.55;334.5;42463620
18/08/21;000000;336.05;338.99;333.26;334.9;36270350
19/08/21;000000;333.5;334;329.1;332.69;45936410
20/08/21;000000;332.2;333.27;325.17;325.67;36352850
23/08/21;000000;327.85;329.81;326.55;329.22;20539290
24/08/21;000000;330.37;331.22;323.32;324.83;35650540
25/08/21;000000;324.29;325.32;321.26;324.57;28071640
26/08/21;000000;324.03;325.55;320.58;322.54;27463480
27/08/21;000000;323.74;327.5;321.8;327.41;27792410
30/08/21;000000;328.42;329.38;326.51;328.28;20356090
31/08/21;000000;328.54;330.48;327.3;327.94;32440160
01/09/21;000000;328.87;334.64;328.03;334.57;30671130
02/09/21;000000;334.67;334.91;328.77;329;31562590
03/09/21;000000;329.47;330.53;326.62;329.71;29597400
06/09/21;000000;330;331.45;328.5;329.37;17467620
07/09/21;000000;329.82;330.73;324.64;325.96;24443360
08/09/21;000000;325.96;332.74;322.84;331.7;47818530
09/09/21;000000;330.4;330.4;325.69;326.01;29884250
10/09/21;000000;328.01;328.43;325.21;326.25;17390450
13/09/21;000000;327.02;328.14;324.01;327.41;24349520
14/09/21;000000;327.45;328.84;325.48;326.48;22491700
15/09/21;000000;326.46;334.6;326.46;333.51;43810600
16/09/21;000000;333.04;334.5;324.91;326.99;62479270
17/09/21;000000;326.9;331.73;325.7;329.56;54120880
20/09/21;000000;327.01;328.85;325;326.92;31671550
21/09/21;000000;328.44;329.48;322.39;323.25;47704160
22/09/21;000000;325.28;328.9;322.5;327.8;38085450
23/09/21;000000;328.94;329.4;325.13;327.02;27033650
24/09/21;000000;326.08;326.23;323.62;325.44;24552590
27/09/21;000000;326.32;332.46;326.09;331.68;34346920
28/09/21;000000;332.06;334.48;328.32;329.3;52511780
29/09/21;000000;329.09;330.45;327.15;328.43;27597990
30/09/21;000000;329.98;342.2;329.45;340.99;83549930
