<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
30/11/22;000000;136.51;136.78;135.23;136.78;26797760
01/12/22;000000;137.11;137.95;136.31;137.15;32859350
02/12/22;000000;136.98;137.1;136.17;136.66;19212600
05/12/22;000000;136.66;142.68;136.25;142;103887240
06/12/22;000000;142.2;143.37;139.11;140.61;51734090
07/12/22;000000;140.5;142.81;138.36;142.32;69817930
08/12/22;000000;143.5;143.6;139.8;139.92;63554380
09/12/22;000000;139.7;140.7;139.24;140.03;29390220
12/12/22;000000;140.19;140.87;138.7;139.48;33347970
13/12/22;000000;139.65;139.93;136.67;138.13;52159500
14/12/22;000000;138.25;138.25;136.6;137.3;34031240
15/12/22;000000;136.97;137.08;134.3;134.55;54698540
16/12/22;000000;134.5;136.09;134.13;135.45;32731270
